State,District,Latitude,Longitude,Population,Male,Female,Literate,SC,ST,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,140802,77785,63017,86236,18,122336,10341,108239,604,1171,20126,28
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,140802,77785,63017,86236,18,122336,10341,108239,604,1171,20126,28
Jammu and Kashmir,Kargil,33.565994894894914,76.63675315315312,140802,77785,63017,86236,18,122336,10341,108239,604,1171,20126,28
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,476835,251899,224936,261724,556,176101,32604,431279,958,11188,83,10
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,476835,251899,224936,261724,556,176101,32604,431279,958,11188,83,10
Jammu and Kashmir,Punch,33.791241290322574,74.29593161290322,476835,251899,224936,261724,556,176101,32604,431279,958,11188,83,10
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,616435,326109,290326,389204,141224,53307,540063,64234,1828,9551,24,16
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,616435,326109,290326,389204,141224,53307,540063,64234,1828,9551,24,16
Jammu and Kashmir,Kathua,32.51781678321678,75.58901398601404,616435,326109,290326,389204,141224,53307,540063,64234,1828,9551,24,16
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,1236829,651124,585705,748584,1068,8935,42540,1177342,2746,12187,285,74
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,1236829,651124,585705,748584,1068,8935,42540,1177342,2746,12187,285,74
Jammu and Kashmir,Srinagar,34.27312898550724,75.11021159420288,1236829,651124,585705,748584,1068,8935,42540,1177342,2746,12187,285,74
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,560440,293064,267376,293958,402,22607,13840,535159,1109,9440,35,6
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,560440,293064,267376,293958,402,22607,13840,535159,1109,9440,35,6
Jammu and Kashmir,Pulwama,33.88414418604652,75.00921860465118,560440,293064,267376,293958,402,22607,13840,535159,1109,9440,35,6
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,409936,213641,196295,219083,53408,39216,187621,220614,472,422,21,22
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,409936,213641,196295,219083,53408,39216,187621,220614,472,422,21,22
Jammu and Kashmir,Doda,33.359614675767915,76.07163720136518,409936,213641,196295,219083,53408,39216,187621,220614,472,422,21,22
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,554985,296784,258201,322354,138569,56309,489044,59771,1962,3418,106,57
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,554985,296784,258201,322354,138569,56309,489044,59771,1962,3418,106,57
Jammu and Kashmir,Udhampur,33.04770670731707,75.15286951219511,554985,296784,258201,322354,138569,56309,489044,59771,1962,3418,106,57
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,1529958,813821,716137,1137135,377991,69193,1289240,107489,12104,114272,470,1987
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,1529958,813821,716137,1137135,377991,69193,1289240,107489,12104,114272,470,1987
Jammu and Kashmir,Jammu,32.713199095022645,74.8477520361991,1529958,813821,716137,1137135,377991,69193,1289240,107489,12104,114272,470,1987
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,519080,261320,257760,323842,111690,135500,479782,32455,1559,2745,1740,57
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,519080,261320,257760,323842,111690,135500,479782,32455,1559,2745,1740,57
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,519080,261320,257760,323842,111690,135500,479782,32455,1559,2745,1740,57
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1510075,750591,759484,1152640,319385,84564,1461140,19797,3023,8929,14511,194
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1510075,750591,759484,1152640,319385,84564,1461140,19797,3023,8929,14511,194
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1510075,750591,759484,1152640,319385,84564,1461140,19797,3023,8929,14511,194
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,437903,225452,212451,307672,122659,16822,415669,2974,1568,1396,15377,94
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,437903,225452,212451,307672,122659,16822,415669,2974,1568,1396,15377,94
Himachal Pradesh,Kullu,31.90911922077925,77.40922649350647,437903,225452,212451,307672,122659,16822,415669,2974,1568,1396,15377,94
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,999777,498065,501712,723747,293739,12787,981412,9460,876,4081,2628,43
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,999777,498065,501712,723747,293739,12787,981412,9460,876,4081,2628,43
Himachal Pradesh,Mandi,31.635805940594054,76.96556930693067,999777,498065,501712,723747,293739,12787,981412,9460,876,4081,2628,43
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,454768,217070,237698,358091,109256,3044,449412,3711,243,591,95,293
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,454768,217070,237698,358091,109256,3044,449412,3711,243,591,95,293
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,454768,217070,237698,358091,109256,3044,449412,3711,243,591,95,293
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,454768,217070,237698,358091,109256,3044,449412,3711,243,591,95,293
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,454768,217070,237698,358091,109256,3044,449412,3711,243,591,95,293
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,454768,217070,237698,358091,109256,3044,449412,3711,243,591,95,293
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,454768,217070,237698,358091,109256,3044,449412,3711,243,591,95,293
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,454768,217070,237698,358091,109256,3044,449412,3711,243,591,95,293
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,454768,217070,237698,358091,109256,3044,449412,3711,243,591,95,293
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,454768,217070,237698,358091,109256,3044,449412,3711,243,591,95,293
